Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Bulgaria,BG,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,6482238,1152522,14.8,146,12.7
Bulgaria,BG,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,6482238,5011131,14.8,6505,129.8
Bulgaria,BG,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,6482238,5011131,78.9,36,0.7
Bulgaria,BG,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,6482091,5011018,14.7,931,18.6
Bulgaria,BG,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,6482091,4716017,14.7,8297,175.9
Bulgaria,BG,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,6482091,5011018,14.7,2479,49.5
Bulgaria,BG,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,6482091,5011018,14.7,4434,88.5
Croatia,HR,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,3861902,703636,12.6,80,11.5
Croatia,HR,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,3861902,2913915,12.6,713,24.5
Croatia,HR,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,3861902,2698887,12.6,3820,141.6
Croatia,HR,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,3861902,3158265,12.6,2,0.1
Croatia,HR,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,3861902,2913915,12.6,2877,98.7
Croatia,HR,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,3861902,3861901,6138.3,3620,93.7
Croatia,HR,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,3861902,2698887,14.2,3690,136.7
Croatia,HR,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,3861902,2913915,14.2,4247,145.7
Croatia,HR,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,3861902,2913915,101.3,8953,307.3
Croatia,HR,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,3861902,703636,14.2,0,0.0
Croatia,HR,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,3861902,2913915,14.2,10452,358.7
Croatia,HR,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,3861902,2913915,14.2,6271,215.2
Austria,AT,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,8978755,6750433,13.5,635,9.4
Austria,AT,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,8978755,6158872,13.5,740,12.0
Austria,AT,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,8978755,1639155,13.5,187,11.4
Austria,AT,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,8978755,6750433,10.1,5859,86.8
Bulgaria,BG,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,6482238,5011131,14.8,1348,26.9
Bulgaria,BG,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,6482238,5011131,14.8,1206,24.1
Bulgaria,BG,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,6482238,5011131,78.9,9000,179.6
Bulgaria,BG,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,6482238,5011131,78.9,350,7.0
Bulgaria,BG,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,6482091,5011018,14.7,4101,81.8
